,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
161,Australia,DM Jones,1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6,380+,64+
162,Australia,DC Boon,1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6,494,16
163,Australia,SPD Smith,2010-2025,170,154,20,5800,164,43.28,6669,86.96,12,35,8,521,58
164,Australia,SR Watson,2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,570,131
165,Australia,MEK Hussey,2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3,383,80
166,Australia,AJ Finch,2013-2022,146,142,3,5406,153*,38.89,6162,87.73,17,30,16,532,129
167,Australia,DR Martyn,1992-2006,208,182,51,5346,144*,40.80,6877,77.73,5,37,10,441,22
168,Australia,A Symonds,1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,449,103
169,Australia,GR Marsh,1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4,302,22
170,Australia,GJ Maxwell,2012-2025,149,136,18,3990,201*,33.81,3149,126.70,4,23,12,382,155
171,Australia,MA Taylor,1989-1997,113,110,1,3514,105,32.23,5908,59.47,1,28,4,273,7
172,Australia,BJ Haddin,2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2,296,71
173,Australia,DS Lehmann,1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4,227,14
174,Australia,GJ Bailey,2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3,222,57
175,Australia,MR Marsh,2011-2024,93,89,11,2794,177*,35.82,2923,95.58,3,19,7,257,94
176,Australia,SE Marsh,2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,247,36
177,Australia,TM Head,2016-2025,73,70,7,2767,154*,43.92,2638,104.89,6,17,3,315,67
178,Australia,GS Chappell,1971-1983,74,72,14,2331,138*,40.18,3079,75.70,3,14,7,195,7
179,Australia,GM Wood,1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4,172+,4+
180,Australia,AT Carey,2018-2025,80,72,12,2149,106,35.81,2364,90.90,1,12,4,203,24
181,Australia,CL White,2005-2018,91,77,16,2072,105,33.96,2586,80.12,2,11,4,145,45
182,Australia,KJ Hughes,1977-1985,97,88,6,1968,98,24.00,2919,67.42,-,17,12,141,12
183,Australia,M Labuschagne,2020-2025,63,56,4,1869,124,35.94,2228,83.88,2,12,3,154,10
184,Australia,MS Wade,2012-2021,97,83,12,1867,100*,26.29,2288,81.59,1,11,5,129,34
185,Australia,DJ Hussey,2008-2013,69,61,6,1796,111,32.65,1980,90.70,1,14,4,130,30
186,Australia,IA Healy,1988-1997,168,120,36,1764,56,21.00,2104,83.84,-,4,9,77,5
187,Australia,KC Wessels,1983-1985,54,51,3,1740,107,36.25,2945,59.08,1,14,-,139,2
188,Australia,UT Khawaja,2013-2019,40,39,2,1554,104,42.00,1848,84.09,2,12,2,150,13
189,Australia,MP Stoinis,2015-2024,71,64,8,1495,146*,26.69,1591,93.96,1,6,5,134,49
190,Australia,JR Hopes,2005-2010,84,61,8,1326,63*,25.01,1415,93.71,-,3,1,123,6
191,Australia,SM Katich,2001-2006,45,42,5,1324,107*,35.78,1926,68.74,1,9,3,138,4
192,Australia,SP O'Donnell,1985-1991,87,64,15,1242,74*,25.34,1534,80.96,-,9,5,72+,28+
193,Australia,SG Law,1994-1999,54,51,5,1237,110,26.89,1643,75.28,1,7,3,72,8
194,Australia,RW Marsh,1971-1984,92,76,15,1225,66,20.08,1489,82.26,-,4,7,86,17
195,Australia,TM Moody,1987-1999,76,64,12,1211,89,23.28,1747,69.31,-,10,6,74,18
196,Australia,B Lee,2000-2012,221,110,44,1176,59,17.81,1407,83.58,-,3,16,69,35
