,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,To,From
215,Australia,C Green,28,24,8,626,89,756.0,756,756.0,0,2,0,54,12,756,756
216,Australia,GRJ Matthews,59,50,13,619,54,911.0,911,911.0,0,1,5,23,3,911,911
217,Australia,BM Laird,23,23,3,594,117,1105.0,1105,1105.0,1,2,0,52,0,1105,1105
218,Australia,MA Starc,127,75,27,577,52,744.0,744,744.0,0,1,12,42,14,744,744
219,Australia,BJ Hodge,25,21,2,575,123,657.0,657,657.0,1,3,3,51,12,657,657
220,Australia,GS Blewett,32,30,3,551,57,889.0,889,889.0,0,2,3,35,3,889,889
221,Australia,PJ Cummins,90,59,22,537,37,703.0,703,703.0,0,0,8,43,12,703,703
222,Australia,KD Walters,28,24,6,513,59,732.0,732,732.0,0,2,1,37,0,732,732
223,Australia,PR Reiffel,92,57,21,503,58,709.0,709,709.0,0,1,5,26,1,709,709
224,Australia,MRJ Veletta,20,19,4,484,68,642.0,642,642.0,0,2,2,29,0,642,642
225,Australia,S Lee,45,35,8,477,47,500.0,500,500.0,0,0,3,31,7,500,500
226,Australia,AJ Bichel,67,36,13,471,64,600.0,600,600.0,0,1,5,33,10,600,600
227,Australia,JP Maher,26,20,3,438,95,673.0,673,673.0,0,1,1,40,7,673,673
228,Australia,PL Taylor,83,47,25,437,54,583.0,583,583.0,0,1,4,23,0,583,583
229,Australia,CJ McDermott,138,78,17,432,37,492.0,492,492.0,0,0,15,36,8,492,492
230,Australia,DM Wellham,17,17,2,379,97,699.0,699,699.0,0,1,0,16,0,699,699
231,Australia,GF Lawson,79,52,18,378,33,500.0,500,500.0,0,0,9,19,4,500,500
232,Australia,SA Abbott,28,21,2,374,69,388.0,388,388.0,0,2,1,32,13,388,388
233,Australia,PJ Forrest,15,14,0,368,104,561.0,561,561.0,1,3,2,34,4,561,561
234,Australia,WM Darling,18,18,1,363,74,679.0,679,679.0,0,1,0,26,0,679,679
235,Australia,A Zampa,111,55,19,362,36,545.0,545,545.0,0,0,6,31,2,545,545
236,Australia,NM Hauritz,58,32,17,336,53,349.0,349,349.0,0,1,0,21,8,349,349
237,Australia,AC Agar,22,18,5,322,48,388.0,388,388.0,0,0,3,28,4,388,388
238,Australia,RB McCosker,14,14,0,320,95,623.0,623,623.0,0,2,2,14,0,623,623
239,Australia,JN Gillespie,97,39,16,289,44,367.0,367,367.0,0,0,8,16,6,367,367
240,Australia,MW Short,15,13,0,280,63,285.0,285,285.0,0,2,1,32,9,285,285
241,Australia,DT Christian,20,18,5,273,39,307.0,307,307.0,0,0,0,23,3,307,307
242,Australia,JW Hastings,29,21,11,271,51,273.0,273,273.0,0,1,1,29,8,273,273
243,Australia,R Edwards,9,8,1,255,80,349.0,349,349.0,0,3,1,22,0,349,349
244,Australia,NM Coulter-Nile,32,21,6,252,92,262.0,262,262.0,0,1,2,20,6,262,262
245,Australia,A Turner,6,6,0,247,101,309.0,309,309.0,1,0,0,25,1,309,309
246,Australia,MJ Di Venuto,9,9,0,241,89,281.0,281,281.0,0,2,0,28,0,281,281
247,Australia,DK Lillee,63,34,8,240,42,320.0,320,320.0,0,0,6,17,1,320,320
248,Australia,TM Chappell,20,13,0,229,110,365.0,365,365.0,1,0,2,18,0,365,365
249,Australia,AMJ Hilditch,8,8,0,226,72,476.0,476,476.0,0,1,0,15,0,476,476
250,Australia,KR Stackpole,6,6,0,224,61,387.0,387,387.0,0,3,0,28,0,387,387
251,Australia,BP Julian,25,17,0,224,35,250.0,250,250.0,0,0,4,17,6,250,250
252,Australia,BR McDermott,5,5,0,223,104,278.0,278,278.0,1,1,1,19,5,278,278
253,Australia,DJM Short,8,8,1,211,69,269.0,269,269.0,0,1,1,16,1,269,269
254,Australia,NW Bracken,116,35,18,199,21,282.0,282,282.0,0,0,5,10,5,282,282
255,Australia,AJ Turner,9,7,1,192,84,160.0,160,160.0,0,1,0,10,10,160,160
256,Australia,CJ McKay,59,31,10,190,30,337.0,337,337.0,0,0,3,15,2,337,337
257,Australia,JR Thomson,50,30,6,181,21,280.0,280,280.0,0,0,5,9,2,280,280
258,Australia,GC Dyer,23,13,2,174,45,227.0,227,227.0,0,0,1,8,4,227,227
259,Australia,AM Hardie,13,10,0,166,44,199.0,199,199.0,0,0,1,15,2,199,199
260,Australia,JL Langer,8,7,2,160,36,180.0,180,180.0,0,0,0,13,4,180,180
261,Australia,GJ Cosier,9,7,2,154,84,166.0,166,166.0,0,1,1,15,2,166,166
262,Australia,DW Fleming,88,31,18,152,29,221.0,221,221.0,0,0,5,9,1,221,221
263,Australia,JA Burns,6,6,0,146,69,184.0,184,184.0,0,1,1,16,1,184,184
264,Australia,JM Wiener,7,7,0,140,50,324.0,324,324.0,0,1,0,12,0,324,324
265,Australia,KH MacLeay,16,13,2,139,41,170.0,170,170.0,0,0,0,7,3,170,170
266,Australia,RM Hogg,71,35,20,137,22,217.0,217,217.0,0,0,2,8,0,217,217
267,Australia,JR Hazlewood,91,35,27,131,23,161.0,161,161.0,0,0,4,14,3,161,161
268,Australia,TJ Zoehrer,22,15,3,130,50,183.0,183,183.0,0,1,2,9,0,183,183
269,Australia,PA Jaques,6,6,0,125,94,176.0,176,176.0,0,1,1,16,1,176,176
