,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format
196,Australia,JD Wildermuth,2,1,1,1,1,0.0,1,100.0,0,0,0,0,0,2018,2018,T20
197,Australia,DE Bollinger,9,2,2,1,1,0.0,1,100.0,0,0,0,0,0,2011,2014,T20
199,Bangladesh,Shakib Al Hasan,129,127,17,2551,84,23.19,2105,121.18,0,13,9,258,53,2006,2024,T20
200,Bangladesh,Mahmudullah,141,130,26,2444,64,23.5,2082,117.38,0,8,5,184,77,2007,2024,T20
201,Bangladesh,Litton Das,107,105,3,2292,83,22.47,1834,124.97,0,12,6,221,71,2015,2025,T20
202,Bangladesh,Tamim Iqbal,74,74,5,1701,103,24.65,1448,117.47,1,7,6,180,44,2007,2020,T20
203,Bangladesh,Mushfiqur Rahim,102,93,16,1500,72,19.48,1304,115.03,0,6,8,126,37,2006,2022,T20
204,Bangladesh,Soumya Sarkar,87,86,4,1462,68,17.82,1197,122.13,0,5,13,145,55,2015,2024,T20
205,Bangladesh,Afif Hossain,70,64,9,1117,77,20.3,938,119.08,0,3,6,83,38,2018,2024,T20
206,Bangladesh,Najmul Hossain Shanto,50,48,5,987,71,22.95,905,109.06,0,4,0,89,20,2019,2025,T20
207,Bangladesh,Sabbir Rahman,48,47,5,977,80,23.26,819,119.29,0,4,3,92,29,2014,2022,T20
208,Bangladesh,Towhid Hridoy,43,40,6,900,63,26.47,719,125.17,0,3,3,60,37,2023,2025,T20
209,Bangladesh,Mohammad Naim,38,38,2,860,81,23.88,841,102.25,0,4,2,77,18,2019,2025,T20
210,Bangladesh,Tanzid Hasan,29,29,3,655,73,25.19,508,128.93,0,5,4,64,32,2024,2025,T20
211,Bangladesh,Jaker Ali,33,30,9,571,72,27.19,452,126.32,0,3,1,28,37,2023,2025,T20
212,Bangladesh,Mohammad Ashraful,23,23,0,450,65,19.56,356,126.4,0,2,2,48,11,2007,2013,T20
213,Bangladesh,Nurul Hasan,46,41,14,445,42,16.48,376,118.35,0,0,4,27,16,2016,2022,T20
214,Bangladesh,Anamul Haque,20,20,2,445,58,24.72,395,112.65,0,1,1,46,14,2012,2022,T20
215,Bangladesh,Shamim Hossain,34,27,5,426,51,19.36,331,128.7,0,1,0,42,15,2021,2025,T20
216,Bangladesh,Mehidy Hasan Miraz,34,29,4,418,46,16.72,358,116.75,0,0,2,37,10,2017,2025,T20
217,Bangladesh,Mahedi Hasan,61,43,10,401,33,12.15,400,100.25,0,0,8,29,13,2018,2025,T20
218,Bangladesh,Mosaddek Hossain,33,31,10,389,48,18.52,341,114.07,0,0,4,26,11,2016,2022,T20
219,Bangladesh,Mashrafe Mortaza,54,39,11,377,36,13.46,277,136.1,0,0,6,28,23,2006,2017,T20
220,Bangladesh,Parvez Hossain Emon,17,17,1,373,100,23.31,269,138.66,1,2,5,30,25,2022,2025,T20
221,Bangladesh,Nasir Hossain,31,24,4,370,50,18.5,326,113.49,0,2,2,30,7,2011,2016,T20
222,Bangladesh,Mohammad Saifuddin,41,23,12,247,39,22.45,216,114.35,0,0,2,19,9,2017,2025,T20
223,Bangladesh,Aftab Ahmed,11,11,1,228,62,22.8,178,128.08,0,1,0,26,6,2006,2010,T20
224,Bangladesh,Rony Talukdar,11,10,0,224,67,22.4,165,135.75,0,1,0,24,7,2015,2023,T20
225,Bangladesh,Taskin Ahmed,76,36,16,200,31,10.0,210,95.23,0,0,6,18,6,2014,2025,T20
226,Bangladesh,Nazimuddin,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10,2007,2008,T20
227,Bangladesh,Rishad Hossain,40,25,6,170,53,8.94,131,129.77,0,1,4,9,14,2023,2025,T20
228,Bangladesh,Junaid Siddique,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7,2007,2012,T20
229,Bangladesh,Tanzim Hasan Sakib,28,17,7,139,50,13.9,134,103.73,0,1,1,8,7,2023,2025,T20
230,Bangladesh,Naeem Islam,10,10,1,130,28,14.44,114,114.03,0,0,0,8,7,2008,2013,T20
231,Bangladesh,Yasir Ali,11,11,3,128,42,16.0,90,142.22,0,0,0,12,5,2022,2023,T20
232,Bangladesh,Mohammad Mithun,17,13,1,127,47,10.58,136,93.38,0,0,2,10,4,2014,2021,T20
233,Bangladesh,Imrul Kayes,14,13,0,119,36,9.15,134,88.8,0,0,4,14,3,2010,2017,T20
234,Bangladesh,Ziaur Rahman,14,12,3,117,40,13.0,91,128.57,0,0,3,3,10,2012,2014,T20
235,Bangladesh,Mustafizur Rahman,111,33,14,87,15,4.57,117,74.35,0,0,7,3,5,2015,2025,T20
236,Bangladesh,Shamsur Rahman,9,8,0,86,53,10.75,85,101.17,0,1,2,12,1,2013,2014,T20
237,Bangladesh,Nasum Ahmed,36,17,9,77,19,9.62,82,93.9,0,0,4,6,2,2021,2025,T20
238,Bangladesh,Farhad Reza,13,9,0,72,19,8.0,88,81.81,0,0,1,4,2,2006,2014,T20
239,Bangladesh,Shoriful Islam,50,21,8,66,16,5.07,56,117.85,0,0,4,7,3,2021,2025,T20
240,Bangladesh,Mominul Haque,6,4,1,60,26,20.0,50,120.0,0,0,0,5,2,2012,2014,T20
241,Bangladesh,Ariful Haque,9,8,4,59,18,14.75,61,96.72,0,0,1,4,0,2018,2018,T20
242,Bangladesh,Abu Hider,13,5,4,58,22,58.0,43,134.88,0,0,0,5,4,2016,2018,T20
243,Bangladesh,Sohag Gazi,10,7,3,57,24,14.25,59,96.61,0,0,0,3,1,2012,2015,T20
244,Bangladesh,Alok Kapali,7,7,2,57,19,11.4,85,67.05,0,0,2,3,1,2007,2011,T20
245,Bangladesh,Saif Hassan,5,5,1,52,50,13.0,64,81.25,0,1,2,1,3,2021,2023,T20
246,Bangladesh,Raqibul Hasan,5,5,0,51,18,10.2,62,82.25,0,0,0,3,1,2008,2010,T20
247,Bangladesh,Hasan Mahmud,26,9,7,50,26,25.0,51,98.03,0,0,1,0,4,2020,2025,T20
248,Bangladesh,Abdur Razzak,34,20,10,41,9,4.1,74,55.4,0,0,5,1,0,2006,2014,T20
249,Bangladesh,Shuvagata Hom,5,4,2,35,16,17.5,35,100.0,0,0,0,3,1,2016,2016,T20
250,Bangladesh,Aminul Islam,10,7,4,35,9,11.66,41,85.36,0,0,0,4,0,2019,2021,T20
251,Bangladesh,Arafat Sunny,10,6,3,34,10,11.33,30,113.33,0,0,0,3,1,2014,2016,T20
252,Bangladesh,Munim Shahriar,5,5,0,34,17,6.8,47,72.34,0,0,0,5,0,2022,2022,T20
253,Bangladesh,Jahurul Islam,3,3,0,31,18,10.33,23,134.78,0,0,0,3,1,2010,2013,T20
254,Bangladesh,Nadif Chowdhury,3,3,0,27,12,9.0,23,117.39,0,0,0,2,0,2006,2007,T20
255,Bangladesh,Shahadat Hossain,3,2,0,26,21,13.0,33,78.78,0,0,0,3,0,2023,2023,T20
256,Bangladesh,Shahriar Nafees,1,1,0,25,25,25.0,17,147.05,0,0,0,3,1,2006,2006,T20
257,Bangladesh,Shafiul Islam,20,6,1,23,16,4.6,33,69.69,0,0,1,1,1,2010,2020,T20
