,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
163,Australia,JR Hazlewood,2013-2025,53,11,8,29,13*,9.66,28,103.57,-,-,2,2,1
164,Australia,PM Nevill,2016-2016,9,5,4,25,10*,25.00,11,227.27,-,-,-,1,2
165,Australia,JN Gillespie,2005-2005,1,1,-,24,24,24.00,18,133.33,-,-,-,4,0
166,Australia,MJ North,2009-2009,1,1,-,20,20,20.00,21,95.23,-,-,-,1,0
167,Australia,CJ McKay,2010-2013,6,4,2,19,7,9.50,22,86.36,-,-,1,1,1
168,Australia,XJ Doherty,2012-2013,11,4,3,18,9*,18.00,17,105.88,-,-,-,1,0
169,Australia,KW Richardson,2014-2023,36,7,3,17,9,4.25,17,100.00,-,-,1,0,0
170,Australia,DP Nannes,2009-2010,15,4,3,16,12*,16.00,11,145.45,-,-,-,1,1
171,Australia,BJ Rohrer,2013-2013,1,1,-,16,16,16.00,14,114.28,-,-,-,0,1
172,Australia,CJ Ferguson,2009-2009,3,3,-,16,8,5.33,19,84.21,-,-,1,1,0
173,Australia,LA Pomersbach,2007-2007,1,1,-,15,15,15.00,7,214.28,-,-,-,1,1
174,Australia,NW Bracken,2006-2009,19,6,3,15,4*,5.00,22,68.18,-,-,1,1,0
175,Australia,XC Bartlett,2024-2025,8,3,-,14,9,4.66,18,77.77,-,-,1,2,0
176,Australia,C Connolly,2024-2025,6,2,-,13,13,6.50,10,130.00,-,-,1,1,1
177,Australia,SW Tait,2007-2016,21,6,2,11,6,2.75,15,73.33,-,-,1,0,1
178,Australia,B Stanlake,2017-2019,19,2,1,9,7,9.00,12,75.00,-,-,-,0,1
179,Australia,JP Behrendorff,2017-2024,17,2,1,7,5,7.00,9,77.77,-,-,-,0,0
180,Australia,PJ Hughes,2014-2014,1,1,-,6,6,6.00,8,75.00,-,-,-,1,0
181,Australia,NM Hauritz,2009-2009,3,2,-,6,4,3.00,10,60.00,-,-,-,1,0
182,Australia,JL Pattinson,2011-2012,4,2,2,5,5*,-,3,166.66,-,-,-,1,0
183,Australia,GD McGrath,2005-2005,2,1,-,5,5,5.00,12,41.66,-,-,-,0,0
184,Australia,NM Lyon,2016-2018,2,1,1,4,4*,-,4,100.00,-,-,-,0,0
185,Australia,CJ Boyce,2014-2016,7,2,1,4,3,4.00,7,57.14,-,-,-,0,0
186,Australia,NJ Reardon,2014-2014,2,1,-,4,4,4.00,8,50.00,-,-,-,0,0
187,Australia,JM Muirhead,2014-2014,5,2,1,4,3,4.00,8,50.00,-,-,-,0,0
188,Australia,MS Kasprowicz,2005-2005,2,1,1,3,3*,-,5,60.00,-,-,-,0,0
189,Australia,Fawad Ahmed,2013-2013,2,1,1,3,3*,-,5,60.00,-,-,-,0,0
190,Australia,RJ Harris,2010-2010,3,1,1,2,2*,-,1,200.00,-,-,-,0,0
191,Australia,CJ Green,2023-2023,1,1,1,2,2*,-,3,66.66,-,-,-,0,0
192,Australia,M Labuschagne,2022-2022,1,1,-,2,2,2.00,4,50.00,-,-,-,0,0
193,Australia,T Sangha,2023-2023,7,1,1,2,2*,-,4,50.00,-,-,-,0,0
194,Australia,BW Hilfenhaus,2007-2012,7,3,1,2,2,1.00,10,20.00,-,-,1,0,0
195,Australia,PM Siddle,2009-2010,2,1,1,1,1*,-,1,100.00,-,-,-,0,0
